************ Run 215_4He - pearson coefficient ***********
Evt. 38832   P.coefficient (R): 0.987033
Evt. 38956   P.coefficient (R): 0.986536
Evt. 38984   P.coefficient (R): 0.988177
Evt. 39000   P.coefficient (R): 0.995596
Evt. 39033   P.coefficient (R): 0.994023
Evt. 39053   P.coefficient (R): 0.994533
Evt. 39151   P.coefficient (R): 0.991324
Evt. 39202   P.coefficient (R): 0.995294
Evt. 39232   P.coefficient (R): 0.992124
Evt. 39256   P.coefficient (R): 0.997082
Evt. 39297   P.coefficient (R): 0.987036
Evt. 39300   P.coefficient (R): 0.993906
Evt. 39342   P.coefficient (R): 0.990421
Evt. 39374   P.coefficient (R): 0.99459
Evt. 39402   P.coefficient (R): 0.992839
Evt. 39492   P.coefficient (R): 0.994958
Evt. 39571   P.coefficient (R): 0.991017
Evt. 39717   P.coefficient (R): 0.182598
Evt. 39737   P.coefficient (R): 0.994648
Evt. 39919   P.coefficient (R): 0.994017
Evt. 39981   P.coefficient (R): 0.988582
Evt. 40017   P.coefficient (R): 0.99547
Evt. 40079   P.coefficient (R): 0.992269
Evt. 40157   P.coefficient (R): 0.969874
Evt. 40280   P.coefficient (R): 0.995608
Evt. 40321   P.coefficient (R): 0.993364
Evt. 40400   P.coefficient (R): 0.993509
Evt. 40414   P.coefficient (R): 0.714952
Evt. 40433   P.coefficient (R): 0.982097
Evt. 40504   P.coefficient (R): 0.994268
Evt. 40615   P.coefficient (R): 0.781299
Evt. 40673   P.coefficient (R): 0.993905
Evt. 40697   P.coefficient (R): 0.957161
Evt. 40791   P.coefficient (R): 0.995714
Evt. 40846   P.coefficient (R): 0.992257
Evt. 41144   P.coefficient (R): 0.989125
Evt. 41430   P.coefficient (R): 0.993972
Evt. 41581   P.coefficient (R): 0.994892
Evt. 41649   P.coefficient (R): 0.989883
Evt. 41683   P.coefficient (R): 0.993213
Evt. 41761   P.coefficient (R): 0.985641
Evt. 41773   P.coefficient (R): 0.968895
Evt. 41802   P.coefficient (R): 0.989607
Evt. 41925   P.coefficient (R): 0.993233
Evt. 41941   P.coefficient (R): 0.99317
Evt. 42094   P.coefficient (R): 0.995176
Evt. 42139   P.coefficient (R): 0.996188
Evt. 42203   P.coefficient (R): 0.991552
Evt. 42229   P.coefficient (R): 0.987991
Evt. 42326   P.coefficient (R): 0.994217
Evt. 42482   P.coefficient (R): 0.986214
Evt. 42533   P.coefficient (R): 0.986254
Evt. 42671   P.coefficient (R): 0.842221
Evt. 42698   P.coefficient (R): 0.988624
Evt. 42735   P.coefficient (R): 0.993309
Evt. 42736   P.coefficient (R): 0.994173
Evt. 42834   P.coefficient (R): 0.938708
Evt. 43027   P.coefficient (R): 0.992515
Evt. 43206   P.coefficient (R): 0.991009
Evt. 43276   P.coefficient (R): 0.986536
Evt. 43290   P.coefficient (R): 0.958955
Evt. 43306   P.coefficient (R): 0.995197
Evt. 43307   P.coefficient (R): 0.990934
Evt. 43340   P.coefficient (R): 0.991171
Evt. 43356   P.coefficient (R): 0.995592
Evt. 43651   P.coefficient (R): 0.767194
Evt. 43883   P.coefficient (R): 0.996212
Evt. 43893   P.coefficient (R): 0.549263
Evt. 43976   P.coefficient (R): 0.99143
Evt. 43985   P.coefficient (R): 0.844813
Evt. 44163   P.coefficient (R): 0.993253
Evt. 44272   P.coefficient (R): 0.995984
Evt. 44308   P.coefficient (R): 0.983312
Evt. 44588   P.coefficient (R): 0.991441
Evt. 44647   P.coefficient (R): 0.994808
Evt. 44852   P.coefficient (R): 0.996059
Evt. 44853   P.coefficient (R): 0.99479
Evt. 44897   P.coefficient (R): 0.87166
Evt. 44940   P.coefficient (R): 0.935389
Evt. 45263   P.coefficient (R): 0.995053
Evt. 45324   P.coefficient (R): 0.982256
Evt. 45441   P.coefficient (R): 0.993169
Evt. 45462   P.coefficient (R): 0.992104
Evt. 45506   P.coefficient (R): -0.0640118
Evt. 45555   P.coefficient (R): 0.994695
Evt. 45573   P.coefficient (R): 0.994645
Evt. 45618   P.coefficient (R): 0.802654
Evt. 45768   P.coefficient (R): 0.990673
Evt. 45855   P.coefficient (R): 0.995399
Evt. 45889   P.coefficient (R): 0.990674
Evt. 45972   P.coefficient (R): 0.993444
Evt. 46076   P.coefficient (R): 0.993021
Evt. 46224   P.coefficient (R): 0.993527
Evt. 46245   P.coefficient (R): 0.993991
Evt. 46295   P.coefficient (R): 0.796907
Evt. 46436   P.coefficient (R): 0.983817
Evt. 46573   P.coefficient (R): 0.994633
Evt. 46664   P.coefficient (R): 0.81086
Evt. 46782   P.coefficient (R): 0.990221
Evt. 46788   P.coefficient (R): 0.905833
Evt. 46812   P.coefficient (R): 0.991797
Evt. 46916   P.coefficient (R): 0.989064
Evt. 46961   P.coefficient (R): 0.99351
Evt. 47076   P.coefficient (R): 0.987985
Evt. 47094   P.coefficient (R): 0.991148
Evt. 47200   P.coefficient (R): 0.994073
Evt. 47328   P.coefficient (R): 0.992512
Evt. 47362   P.coefficient (R): 0.992699
Evt. 47404   P.coefficient (R): 0.995301
Evt. 47426   P.coefficient (R): 0.992535
Evt. 47442   P.coefficient (R): 0.977947
Evt. 47448   P.coefficient (R): 0.995711
Evt. 47496   P.coefficient (R): 0.777564
Evt. 47534   P.coefficient (R): 0.990952
Evt. 47864   P.coefficient (R): 0.991799
Evt. 47993   P.coefficient (R): 0.6444
Evt. 48159   P.coefficient (R): 0.792055
Evt. 48168   P.coefficient (R): 0.977026
Evt. 48178   P.coefficient (R): 0.988337
Evt. 48188   P.coefficient (R): 0.99259
Evt. 48224   P.coefficient (R): 0.994598
Evt. 48322   P.coefficient (R): 0.991716
Evt. 48458   P.coefficient (R): 0.993879
Evt. 48501   P.coefficient (R): 0.995174
Evt. 48657   P.coefficient (R): 0.990072
Evt. 48739   P.coefficient (R): 0.965613
Evt. 48753   P.coefficient (R): 0.941344
Evt. 48806   P.coefficient (R): 0.990681
Evt. 48848   P.coefficient (R): 0.413504
Evt. 49254   P.coefficient (R): 0.990733
Evt. 49466   P.coefficient (R): -0.211027
Evt. 49637   P.coefficient (R): 0.388252
Evt. 49926   P.coefficient (R): 0.995218
Evt. 50100   P.coefficient (R): 0.96504
Evt. 50148   P.coefficient (R): 0.98839
Evt. 50241   P.coefficient (R): 0.994477
Evt. 50255   P.coefficient (R): 0.985482
Evt. 50269   P.coefficient (R): 0.99461
Evt. 50280   P.coefficient (R): 0.995068
Evt. 50301   P.coefficient (R): 0.975039
Evt. 50305   P.coefficient (R): 0.994238
Evt. 50343   P.coefficient (R): 0.991123
Evt. 50595   P.coefficient (R): 0.990909
Evt. 50701   P.coefficient (R): 0.989072
Evt. 50719   P.coefficient (R): 0.9916
Evt. 51252   P.coefficient (R): 0.993667
Evt. 51267   P.coefficient (R): 0.991835
