************ Run 298_7Li - pearson coefficient ***********
Evt. 544   P.coefficient (R): 0.99236
Evt. 545   P.coefficient (R): 0.992103
Evt. 546   P.coefficient (R): 0.990805
Evt. 547   P.coefficient (R): 0.9932
Evt. 548   P.coefficient (R): 0.991837
Evt. 549   P.coefficient (R): 0.992113
Evt. 550   P.coefficient (R): 0.991891
Evt. 551   P.coefficient (R): 0.992053
Evt. 552   P.coefficient (R): 0.990025
Evt. 553   P.coefficient (R): 0.991417
Evt. 554   P.coefficient (R): 0.991557
Evt. 555   P.coefficient (R): 0.992666
Evt. 556   P.coefficient (R): 0.989345
Evt. 557   P.coefficient (R): 0.98203
Evt. 558   P.coefficient (R): 0.991713
Evt. 559   P.coefficient (R): 0.993716
Evt. 560   P.coefficient (R): 0.993297
Evt. 561   P.coefficient (R): 0.993592
Evt. 562   P.coefficient (R): 0.992469
Evt. 563   P.coefficient (R): 0.992501
Evt. 564   P.coefficient (R): 0.990926
Evt. 566   P.coefficient (R): 0.991539
Evt. 567   P.coefficient (R): 0.993638
Evt. 568   P.coefficient (R): 0.991149
Evt. 569   P.coefficient (R): 0.991668
Evt. 570   P.coefficient (R): 0.991217
Evt. 571   P.coefficient (R): 0.989749
Evt. 572   P.coefficient (R): 0.991356
Evt. 573   P.coefficient (R): 0.99315
Evt. 574   P.coefficient (R): 0.991628
Evt. 575   P.coefficient (R): 0.992537
Evt. 576   P.coefficient (R): 0.9926
Evt. 577   P.coefficient (R): 0.992587
Evt. 578   P.coefficient (R): 0.990722
Evt. 579   P.coefficient (R): 0.991989
Evt. 580   P.coefficient (R): 0.993004
Evt. 581   P.coefficient (R): 0.990944
Evt. 582   P.coefficient (R): 0.991755
Evt. 583   P.coefficient (R): 0.988705
Evt. 584   P.coefficient (R): 0.992962
Evt. 585   P.coefficient (R): 0.991872
Evt. 586   P.coefficient (R): 0.992008
Evt. 588   P.coefficient (R): 0.992501
Evt. 589   P.coefficient (R): 0.992447
Evt. 590   P.coefficient (R): 0.991982
Evt. 591   P.coefficient (R): 0.991137
Evt. 592   P.coefficient (R): 0.993066
Evt. 593   P.coefficient (R): 0.989708
Evt. 594   P.coefficient (R): 0.991445
Evt. 595   P.coefficient (R): 0.992585
Evt. 596   P.coefficient (R): 0.993498
Evt. 597   P.coefficient (R): 0.991948
Evt. 598   P.coefficient (R): 0.98947
Evt. 599   P.coefficient (R): 0.993114
Evt. 600   P.coefficient (R): 0.992578
Evt. 601   P.coefficient (R): 0.992232
Evt. 602   P.coefficient (R): 0.993257
Evt. 603   P.coefficient (R): 0.993235
Evt. 604   P.coefficient (R): 0.993332
Evt. 605   P.coefficient (R): 0.993068
Evt. 606   P.coefficient (R): 0.993732
Evt. 607   P.coefficient (R): 0.9936
Evt. 608   P.coefficient (R): 0.994294
Evt. 609   P.coefficient (R): 0.991065
Evt. 610   P.coefficient (R): 0.993484
Evt. 611   P.coefficient (R): 0.992013
Evt. 612   P.coefficient (R): 0.99166
Evt. 613   P.coefficient (R): 0.989501
Evt. 614   P.coefficient (R): 0.993419
Evt. 616   P.coefficient (R): 0.99076
Evt. 617   P.coefficient (R): 0.991607
Evt. 618   P.coefficient (R): 0.99296
Evt. 619   P.coefficient (R): 0.992673
Evt. 620   P.coefficient (R): 0.993258
Evt. 621   P.coefficient (R): 0.992722
Evt. 622   P.coefficient (R): 0.993603
Evt. 623   P.coefficient (R): 0.992471
Evt. 624   P.coefficient (R): 0.991611
Evt. 625   P.coefficient (R): 0.993078
Evt. 626   P.coefficient (R): 0.994163
Evt. 627   P.coefficient (R): 0.988935
Evt. 628   P.coefficient (R): 0.992735
Evt. 629   P.coefficient (R): 0.982906
Evt. 630   P.coefficient (R): 0.992081
Evt. 631   P.coefficient (R): 0.990831
Evt. 632   P.coefficient (R): 0.992598
Evt. 633   P.coefficient (R): 0.992485
Evt. 634   P.coefficient (R): 0.992981
Evt. 635   P.coefficient (R): 0.991732
Evt. 636   P.coefficient (R): 0.992797
Evt. 637   P.coefficient (R): 0.993426
Evt. 638   P.coefficient (R): 0.991789
Evt. 639   P.coefficient (R): 0.991954
Evt. 640   P.coefficient (R): 0.991584
Evt. 641   P.coefficient (R): 0.992215
Evt. 642   P.coefficient (R): 0.993034
Evt. 643   P.coefficient (R): 0.990268
Evt. 644   P.coefficient (R): 0.992882
Evt. 645   P.coefficient (R): 0.992999
Evt. 646   P.coefficient (R): 0.992867
Evt. 649   P.coefficient (R): 0.991737
Evt. 650   P.coefficient (R): 0.99302
