************ Run 76_4He - theta-discrepancies > 0°.2 ***********
  Evt: 47029   theta_fit: 53.9102   theta_deg: 53.6891
  Evt: 47089   theta_fit: 53.4   theta_deg: 53.1237
  Evt: 47214   theta_fit: 53.1627   theta_deg: 52.8335
  Evt: 47237   theta_fit: 53.4746   theta_deg: 53.1639
  Evt: 47513   theta_fit: 51.2369   theta_deg: 50.8858
  Evt: 47775   theta_fit: 53.0902   theta_deg: 52.603
  Evt: 47845   theta_fit: 53.9822   theta_deg: 53.1373
  Evt: 48055   theta_fit: 52.6717   theta_deg: 52.3071
  Evt: 48175   theta_fit: 55.2864   theta_deg: 54.6303
  Evt: 48470   theta_fit: 56.6326   theta_deg: 56.4111
  Evt: 48623   theta_fit: 58.0286   theta_deg: 57.8178
  Evt: 48883   theta_fit: 48.5275   theta_deg: 48.3063
  Evt: 48994   theta_fit: 53.9181   theta_deg: 53.6751
  Evt: 49102   theta_fit: 54.6582   theta_deg: 54.4573
  Evt: 49128   theta_fit: 54.838   theta_deg: 54.5053
  Evt: 49233   theta_fit: 53.8254   theta_deg: 53.1392
  Evt: 49260   theta_fit: 52.9562   theta_deg: 52.6717
  Evt: 49284   theta_fit: 45.1364   theta_deg: 44.6643
  Evt: 49293   theta_fit: 55.138   theta_deg: 54.905
  Evt: 49346   theta_fit: 51.7723   theta_deg: 51.5282
  Evt: 49360   theta_fit: 50.1412   theta_deg: 49.8766
  Evt: 49400   theta_fit: 55.3576   theta_deg: 55.0668
  Evt: 50192   theta_fit: 48.7375   theta_deg: 48.2881
  Evt: 50382   theta_fit: 52.8511   theta_deg: 52.3781
  Evt: 50438   theta_fit: 49.149   theta_deg: 48.9123
  Evt: 50951   theta_fit: 54.1413   theta_deg: 53.7188
  Evt: 51067   theta_fit: 52.8631   theta_deg: 51.7661
  Evt: 51294   theta_fit: 56.2863   theta_deg: 55.9898
  Evt: 51483   theta_fit: 52.1819   theta_deg: 51.9144
  Evt: 51552   theta_fit: 52.839   theta_deg: 52.5124
  Evt: 51712   theta_fit: 51.9247   theta_deg: 51.6408
  Evt: 52155   theta_fit: 52.8856   theta_deg: 52.5972
  Evt: 52303   theta_fit: 54.8328   theta_deg: 54.5181
  Evt: 52354   theta_fit: 53.2556   theta_deg: 52.9164
